Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Tipos de Ataques
30718,57,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,140350.88,35087.72,57.0,0.0,57,57,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,17543.86,17543.86,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
53,226,2,2,84,412,42,42,42.0,0.0,206,206,206.0,0.0,2194690.2,17699.115,75.333336,124.41999,219,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,64,64,8849.558,8849.558,42,206,107.6,89.8265,8068.8,0,0,0,0,0,0,0,0,1,134.5,42.0,206.0,64,2,84,2,412,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
88,64,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,125000.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,15625.0,15625.0,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
53,1149545,4,2,140,246,35,35,35.0,0.0,123,123,123.0,0.0,335.78503,5.219456,229909.0,432319.56,993800,3,155741,51913.668,89911.05,155734,3,4,4.0,0.0,4,4,0,0,104,64,3.4796376,1.7398188,35,123,60.142857,42.9396,1843.8096,0,0,0,0,0,0,0,0,0,70.166664,35.0,123.0,104,4,140,2,246,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,148653,12,8,3214,2415,1448,0,267.83334,553.0885,2277,0,301.875,799.53064,37866.71,134.54152,7823.8423,12699.125,45219,3,148653,13513.909,19284.527,62705,3,117388,16769.715,17058.332,45219,3,0,0,396,264,80.72491,53.816605,0,2277,268.0476,629.3141,396036.25,0,0,0,1,0,0,0,0,0,281.45,267.83334,301.875,396,12,3214,8,2415,65535,1120,7,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,6472168,6,4,599,156,517,0,99.833336,205.45113,156,0,39.0,78.0,116.653336,1.5450773,719129.75,1619858.0,4886617,3,6472168,1294433.6,2139121.2,4991815,3,263979,87993.0,78791.69,152027,4,0,0,132,92,0.9270464,0.6180309,0,517,68.63636,156.00209,24336.654,0,0,0,1,0,0,0,0,0,75.5,99.833336,39.0,132,6,599,4,156,8192,62,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,119835,1,1,45,103,45,45,45.0,0.0,103,103,103.0,0.0,1235.0315,16.689615,119835.0,0.0,119835,119835,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,8.344808,8.344808,45,103,64.333336,33.486317,1121.3334,0,0,0,0,0,0,0,0,1,96.5,45.0,103.0,20,1,45,1,103,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,99159524,11,7,642,11595,321,0,58.363636,129.85089,4344,0,1656.4286,1757.579,123.40721,0.18152568,5832913.0,23700000.0,97800000,8,99100000,9906484.0,30900000.0,97800000,8,318573,53095.5,91780.03,223988,15,0,0,368,232,0.11093236,0.07059332,0,4344,644.0526,1292.4053,1670311.2,0,0,0,0,1,0,0,0,0,679.8333,58.363636,1656.4286,368,11,642,7,11595,251,235,2,32,1665.0,0.0,1665,1665,97800000.0,0.0,97800000,97800000,1
80,100054933,9,4,421,11595,421,0,46.77778,140.33333,8688,0,2898.75,4095.5662,120.09403,0.12992862,8337911.0,28900000.0,100000000,0,100000000,12500000.0,35400000.0,100000000,0,32580,10860.0,11128.858,22397,190,0,0,296,136,0.089950584,0.03997804,0,8688,858.2857,2382.5662,5676621.0,0,0,0,0,1,0,0,0,0,924.3077,46.77778,2898.75,296,9,421,4,11595,251,235,1,32,1007.0,0.0,1007,1007,100000000.0,0.0,100000000,100000000,1
53,48809,1,1,54,422,54,54,54.0,0.0,422,422,422.0,0.0,9752.3,40.97605,48809.0,0.0,48809,48809,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,20.488026,20.488026,54,422,176.66667,212.4649,45141.332,0,0,0,0,0,0,0,0,1,265.0,54.0,422.0,20,1,54,1,422,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,196,2,2,66,264,33,33,33.0,0.0,132,132,132.0,0.0,1683673.5,20408.164,65.333336,107.9645,190,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,40,40,10204.082,10204.082,33,132,72.6,54.224533,2940.3,0,0,0,0,0,0,0,0,1,90.75,33.0,132.0,40,2,66,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,115638986,21,17,1081,3604,453,0,51.47619,127.20559,1400,0,212.0,469.86288,40.51402,0.3286089,3125378.0,4674627.0,10204833,4,115638986,5781949.5,5062904.5,10240026,38,112655226,7040951.5,4865343.0,10242626,4,0,0,680,552,0.18159966,0.14700924,0,1400,120.128204,328.98795,108233.06,0,0,0,1,0,0,0,0,0,123.289474,51.47619,212.0,680,21,1081,17,3604,29200,14472,4,32,64234.09,93691.766,346712,35193,10177103.0,73701.85,10204833,9959960,0
2399,109,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,73394.49,18348.623,109.0,0.0,109,109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,9174.312,9174.312,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
80,99763677,7,6,405,11595,405,0,57.857143,153.0756,4344,0,1932.5,1754.8314,120.284256,0.13030794,8313640.0,28800000.0,99700000,1,99700000,16600000.0,40700000.0,99700000,1,60451,12090.2,18509.459,42152,47,0,0,232,200,0.07016582,0.06014213,0,4344,857.1429,1459.2626,2129447.2,0,0,0,0,1,0,0,0,0,923.0769,57.857143,1932.5,232,7,405,6,11595,251,235,1,32,6.0,0.0,6,6,99700000.0,0.0,99700000,99700000,1
80,533874,3,5,26,11607,20,0,8.666667,10.263203,7215,0,2321.4,3327.7698,21789.785,14.984809,76267.71,201330.02,532841,3,799,399.5,440.52753,711,88,533822,133455.5,266257.25,532841,3,0,0,72,112,5.619303,9.365506,0,7215,1292.5555,2650.5857,7025604.5,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,56262,3,5,26,11607,20,0,8.666667,10.263203,7215,0,2321.4,3327.7698,206764.78,142.1919,8037.4287,20892.244,55415,4,621,310.5,368.40262,571,50,56204,14051.0,27577.41,55415,4,0,0,72,112,53.321957,88.86993,0,7215,1292.5555,2650.5857,7025604.5,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
1026,66,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,121212.125,30303.031,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,15151.516,15151.516,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
123,119,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,1613445.4,33613.445,39.666668,63.50853,113,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,40,40,16806.723,16806.723,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,2,96,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
1594,60,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,133333.33,33333.332,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,16666.666,16666.666,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
80,66934525,8,5,359,11595,359,0,44.875,126.92567,8688,0,2319.0,3774.2375,178.59244,0.19421965,5577877.0,19300000.0,66800000,1,66800000,9542870.0,25200000.0,66800000,1,145365,36341.25,65407.902,134151,44,0,0,264,168,0.119519785,0.074699864,0,8688,853.8571,2382.4705,5676165.5,0,0,0,0,1,0,0,0,0,919.53845,44.875,2319.0,264,8,359,5,11595,251,235,1,32,985.0,0.0,985,985,66800000.0,0.0,66800000,66800000,1
443,8096747,53,55,4425,59546,405,0,83.49056,151.10474,2896,0,1082.6545,968.22687,7900.827,13.33869,75670.53,487540.72,5003637,1,3093110,59482.883,108686.336,673828,4,7968499,147564.8,685248.25,5003812,1,0,0,1704,1768,6.545839,6.7928514,0,2896,586.8899,855.8274,732440.5,0,0,0,1,0,0,0,0,1,592.3241,83.49056,1082.6545,1704,53,4425,55,59546,29200,28,13,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,69307,1,1,48,113,48,48,48.0,0.0,113,113,113.0,0.0,2322.9976,28.857115,69307.0,0.0,69307,69307,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,14.428557,14.428557,48,113,69.666664,37.527767,1408.3334,0,0,0,0,0,0,0,0,1,104.5,48.0,113.0,32,1,48,1,113,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,98315663,7,5,336,11595,336,0,48.0,126.99606,10136,0,2319.0,4414.366,121.35401,0.12205583,8937788.0,29600000.0,98300000,3,98300000,16400000.0,40100000.0,98300000,3,48404,12101.0,16982.541,36146,50,0,0,232,168,0.07119924,0.050856598,0,10136,917.7692,2798.7842,7833192.5,0,0,0,0,1,0,0,0,0,994.25,48.0,2319.0,232,7,336,5,11595,274,235,1,32,992.0,0.0,992,992,98300000.0,0.0,98300000,98300000,1
